date P ETpot Q T
2010061809  0.000 0.273 0.0006  16.5
2010061810  0.000 0.173 0.0006  16.0
2010061811  0.080 0.136 0.0008  15.0
2010061812  0.000 0.171 0.0008  14.6
2010061813  0.000 0.142 0.0008  16.2
2010061814  0.000 0.188 0.0008  16.5
2010061815  0.000 0.144 0.0006  15.8
2010061816  0.000 0.095 0.0006  15.3
2010061817  0.000 0.089 0.0006  14.4
2010061818  0.000 0.045 0.0006  13.2
2010061819  0.000 0.005 0.0006  12.5
2010061820  0.000 0.000 0.0006  11.7
2010061821  0.000 0.000 0.0006  11.6
2010061822  0.000 0.000 0.0006  10.6
2010061823  0.000 0.000 0.0006  11.0
2010061900  0.000 0.000 0.0006  10.8
2010061901  0.000 0.000 0.0006  10.7
2010061902  0.000 0.000 0.0006   9.5
2010061903  0.000 0.009 0.0006   8.7
2010061904  0.000 0.056 0.0006  10.1
2010061905  0.000 0.085 0.0006  11.2
2010061906  0.000 0.119 0.0006  11.2
2010061907  0.000 0.183 0.0006  12.6
2010061908  0.000 0.271 0.0006  12.6
2010061909  0.387 0.262 0.0008  12.8
2010061910  0.773 0.238 0.0008  11.6
2010061911  0.000 0.330 0.0008  14.2
2010061912  0.000 0.262 0.0008  14.7
2010061913  0.000 0.334 0.0008  14.7
2010061914  0.000 0.172 0.0008  12.8
2010061915  0.000 0.132 0.0008  12.6
2010061916  0.000 0.125 0.0008  12.8
2010061917  0.000 0.072 0.0006  11.7
2010061918  0.000 0.041 0.0006  11.0
2010061919  0.000 0.009 0.0006  10.3
2010061920  0.000 0.000 0.0006   9.8
2010061921  0.000 0.000 0.0006   9.6
2010061922  0.000 0.000 0.0006   9.6
2010061923  0.000 0.000 0.0006   9.5
2010062000  0.000 0.000 0.0006   9.6
2010062001  0.000 0.000 0.0006   9.4
2010062002  0.000 0.000 0.0008   9.3
2010062003  0.000 0.003 0.0008   9.6
2010062004  0.000 0.017 0.0008  10.0
2010062005  0.000 0.058 0.0008  11.0
2010062006  0.000 0.130 0.0008  12.5
2010062007  0.000 0.158 0.0008  13.1
2010062008  0.000 0.262 0.0008  13.3
2010062009  0.000 0.182 0.0008  14.2
2010062010  0.000 0.210 0.0008  13.9
2010062011  0.000 0.182 0.0008  15.6
2010062012  0.000 0.141 0.0008  14.6
2010062013  0.000 0.113 0.0008  14.0
2010062014  0.000 0.066 0.0008  13.4
2010062015  0.000 0.063 0.0008  12.6
2010062016  0.000 0.038 0.0008  12.0
2010062017  0.000 0.041 0.0008  12.3
2010062018  0.000 0.028 0.0008  11.8
2010062019  0.000 0.008 0.0008  10.9
2010062020  0.000 0.000 0.0008  11.2
2010062021  0.000 0.000 0.0008  11.0
2010062022  0.000 0.000 0.0006  10.6
2010062023  0.000 0.000 0.0006  10.2
2010062100  0.000 0.000 0.0008  10.0
2010062101  0.000 0.000 0.0006   8.9
2010062102  0.000 0.000 0.0008   8.2
2010062103  0.000 0.009 0.0006   8.6
